guild_name,guild_id,channel_name,channel_id,category,Platform
Axion Crypto-Community,793098557715906597,calls,796024036861542410,stocks,Discord
Axion Crypto-Community,793098557715906597,updates-on-market,842194558015111208,stocks,Discord
Filthy Rich Futures,804673564291760148,trading-chat,804673564291760151,stocks,Discord
Elite Crypto Signals,398075210949066764,trading-chat,804507369588785192,stocks,Discord
Satoshi's Data,805200446553325618,charting-and-calls,806468994353594390,stocks,Discord
Satoshi's Data,805200446553325618,hold-list,827645353301114931,stocks,Discord
Cryptohub,824351641473515601,crypto-chat,825023194984742992,crypto,Discord
Giga Chad's Crypto Fraternity,794945757886414848,crypto-only-chat,807828768219463690,crypto,Discord
Super Pump - Investment Group,822204336242294874,open-chat,823996026117554196,crypto,Discord
Cracking_Crypto,393585918616928256,general-chat,395771418081624075,crypto,Discord
Spacestation,290891518829658112,technical-trading,319880548418060289,crypto,Discord
Spacestation,290891518829658112,traditional-markets,480453372143730688,stocks,Discord
Vy Crypto Lobby,803763753429762098,trading-lobby,803763753887203348,stocks,Discord
r/CryptoCurrency,390628544369393664,crypto-trading,679137528153899039,crypto,Discord
r/CryptoCurrency,390628544369393664,market-outlook,831648840586100846,crypto,Discord
MEGA Pump - CryptoCurrency Investment Group,395316379353612288,main-chat,402270379424612360,crypto,Discord
TodayWePush - Bitcoin Investment Group,780930224207691786,open-chat,781486771400998922,crypto,Discord
